Customer_ID,Age,Gender,Religion,Season,Festival,Fashion_Trend,Purchasing Power,Avg_Spend,Family_Size,Urban_Rural,Education_Level,Preferred_Clothing_Type,Color,Pattern,Material,Fashion_Influence_Source,Cluster,Fashion Influence,Product Range,Customer Experience,Online Presence,sales,promotion,inventory,timestamp,date,Income,Spending_Score,cluster_name
C0011,41.0,Male,,Rainy,,Medium,Medium,3852,2,Rural,Graduate,Formal Wear,Dark,,,Social Media,3,Celebrities,Original Fit,Average,Weak,198,Yes,311,2/17/2025 18:13,1/11/2023,26023,89,Seasonal Trend Followers
C0012,53.0,Male,,Winter,None,Medium,Low,1920,7,Urban,Postgraduate,Formal Wear,Bright,Solid,Wool,Celebrity Trends,0,,Men's Wear,Poor,,186,No,261,2/19/2025 15:03,1/12/2023,51090,42,Price-Sensitive Young Fashionistas
C0013,57.0,Male,Christian,Winter,Diwali,Medium,Medium,1389,5,Rural,Postgraduate,Casual/Formal,Pastel,Floral,,E-Commerce Trends,0,Social Media,Accessories,Average,Strong,204,No,278,11/22/2024 23:22,1/13/2023,77221,89,Price-Sensitive Young Fashionistas
C0014,41.0,Male,Muslim,Winter,Diwali,High,High,1461,2,Rural,Graduate,Sarees / Salwar Kameez,Pastel,Printed,,E-Commerce Trends,2,,Men's Wear,Good,Strong,204,No,296,4/3/2025 10:46,1/14/2023,74820,18,Comfort-First Traditional Buyers
C0015,20.0,Female,Hindu,Rainy,Eid,High,Low,2898,3,Rural,High School,Party Wear,Bright,Checks,Silk,Local Culture,3,Celebrities,,Average,Moderate,192,No,212,4/8/2025 23:04,1/15/2023,10769,40,Seasonal Trend Followers
C0016,,Female,Christian,Rainy,None,High,High,3484,5,Rural,High School,Indo-Western,Dark,Printed,Rayon,Traditional Media,3,Social Media,Women's Wear,Poor,Strong,208,No,250,11/21/2024 15:28,1/16/2023,69735,72,Seasonal Trend Followers
C0017,,Male,Hindu,Rainy,Eid,Medium,Low,928,5,Rural,Graduate,Indo-Western,Pastel,Solid,Wool,Traditional Media,2,Social Media,Accessories,Good,Weak,181,No,279,4/12/2025 17:23,1/17/2023,72955,39,Comfort-First Traditional Buyers
C0018,41.0,,Christian,Rainy,Eid,High,Low,1182,5,Rural,Undergraduate,Fusion Wear,Bright,Solid,Cotton,Celebrity Trends,2,Celebrities,Original Fit,Average,Weak,189,Yes,209,9/19/2024 5:53,1/18/2023,74925,14,Comfort-First Traditional Buyers
C0019,47.0,,Hindu,,Diwali,Medium,Low,630,2,Urban,Graduate,Festive Wear,Pastel,Floral,Rayon,Social Media,2,Social Media,Women's Wear,,Moderate,192,No,212,8/15/2024 0:17,1/19/2023,77969,32,Comfort-First Traditional Buyers
C0020,55.0,Female,Christian,,,Medium,Low,2098,4,Urban,Postgraduate,Casual/Formal,Neutral,Solid,Silk,Celebrity Trends,2,Celebrities,Men's Wear,,,202,No,307,9/17/2024 3:25,1/20/2023,15311,51,Comfort-First Traditional Buyers
C0021,19.0,Female,Hindu,Rainy,Christmas,Low,Medium,2488,6,Rural,Postgraduate,Sarees / Salwar Kameez,,Solid,Silk,Social Media,0,Celebrities,Men's Wear,Excellent,Strong,228,No,295,3/24/2025 5:32,1/21/2023,93104,38,Price-Sensitive Young Fashionistas
C0022,38.0,Male,Hindu,Winter,Eid,High,High,1414,3,Rural,High School,Traditional,,,Silk,Local Culture,0,Celebrities,Accessories,Excellent,Strong,204,No,283,5/25/2024 6:46,1/22/2023,63707,97,Price-Sensitive Young Fashionistas
C0023,50.0,,Christian,Winter,Diwali,Medium,High,3284,6,Rural,High School,Sarees / Salwar Kameez,Bright,Solid,Wool,E-Commerce Trends,3,Local Trends,Men's Wear,Good,Strong,177,No,266,7/9/2024 18:43,1/23/2023,95305,23,Seasonal Trend Followers
C0024,29.0,Female,Hindu,Summer,None,Medium,High,2871,4,Urban,Graduate,Hijab/Abaya,Dark,Solid,Silk,Traditional Media,3,Celebrities,Original Fit,Average,Strong,166,Yes,311,8/25/2024 17:47,1/24/2023,38693,63,Seasonal Trend Followers
C0025,39.0,Male,,,Christmas,High,Low,2844,6,Urban,Undergraduate,Casual/Formal,Bright,Checks,Rayon,Celebrity Trends,1,Social Media,Women's Wear,Average,Moderate,195,No,299,7/7/2024 23:33,1/25/2023,81932,15,Festival-Driven High Spenders
C0026,42.0,Female,Hindu,Rainy,Eid,High,Medium,1724,4,Urban,Undergraduate,Western Casual,,Solid,Rayon,Celebrity Trends,0,,Men's Wear,Average,,215,Yes,395,1/22/2025 13:41,1/26/2023,35658,97,Price-Sensitive Young Fashionistas
C0027,44.0,Female,Christian,,Christmas,Medium,High,1469,5,Rural,Undergraduate,Hijab/Abaya,Bright,Checks,Silk,Celebrity Trends,2,Social Media,Men's Wear,Poor,Weak,191,No,238,8/16/2024 15:29,1/27/2023,94478,25,Comfort-First Traditional Buyers
C0028,59.0,Male,Christian,Rainy,Christmas,Medium,Medium,1510,3,Rural,Undergraduate,Festive Wear,Pastel,Solid,Rayon,Local Culture,0,Local Trends,Women's Wear,Good,Strong,182,Yes,364,1/8/2025 9:56,1/28/2023,28431,17,Price-Sensitive Young Fashionistas
C0029,45.0,Male,Hindu,Winter,None,Low,,1377,6,Urban,Graduate,Formal Wear,Pastel,,Silk,E-Commerce Trends,0,Local Trends,,Good,Moderate,212,Yes,331,4/12/2025 13:01,1/29/2023,12747,97,Price-Sensitive Young Fashionistas
C0030,33.0,Male,Hindu,Winter,Diwali,Medium,High,2290,4,Urban,Undergraduate,Formal Wear,Neutral,Floral,Silk,Local Culture,2,Local Trends,Men's Wear,Poor,Strong,209,No,301,12/29/2024 5:51,1/30/2023,69150,66,Comfort-First Traditional Buyers
C0031,32.0,,Christian,Summer,None,High,Medium,2655,6,Rural,High School,Festive Wear,Bright,Floral,Cotton,E-Commerce Trends,1,Local Trends,Accessories,Good,Strong,212,Yes,260,6/20/2024 7:43,1/31/2023,75725,78,Festival-Driven High Spenders
C0032,20.0,Female,Christian,Summer,Diwali,Medium,Low,2880,5,Urban,Graduate,Hijab/Abaya,,Checks,Wool,E-Commerce Trends,1,Social Media,Accessories,Good,Moderate,194,No,359,1/19/2025 16:49,2/1/2023,94654,53,Festival-Driven High Spenders
C0033,54.0,Female,Hindu,Summer,Christmas,High,Medium,1594,7,Urban,High School,Fusion Wear,Pastel,Solid,Wool,Traditional Media,0,Celebrities,Men's Wear,Poor,,218,No,371,10/23/2024 11:20,2/2/2023,45773,51,Price-Sensitive Young Fashionistas
C0034,24.0,Male,Hindu,Winter,,Low,High,2835,7,Urban,Undergraduate,Ethnic Wear,Dark,Printed,Cotton,Celebrity Trends,3,Social Media,Original Fit,Excellent,Strong,193,Yes,307,8/27/2024 10:39,2/3/2023,77435,39,Seasonal Trend Followers
C0035,38.0,Male,Hindu,Rainy,None,Medium,,1808,7,Urban,Undergraduate,Fusion Wear,,Floral,Cotton,Social Media,0,Celebrities,Accessories,Good,,192,Yes,227,6/13/2024 4:42,2/4/2023,66886,51,Price-Sensitive Young Fashionistas
C0036,26.0,Male,Muslim,Summer,Diwali,Low,Low,2622,3,Urban,Undergraduate,Hijab/Abaya,Dark,Printed,Wool,Traditional Media,1,Social Media,Men's Wear,Poor,Strong,210,No,360,12/11/2024 15:31,2/5/2023,76803,70,Festival-Driven High Spenders
C0037,56.0,Male,Christian,Rainy,Christmas,Low,Low,1955,5,Urban,Undergraduate,Indo-Western,Dark,,Silk,Celebrity Trends,0,Local Trends,Accessories,Average,Weak,220,No,320,6/7/2024 2:34,2/6/2023,41551,6,Price-Sensitive Young Fashionistas
C0038,35.0,Female,Muslim,Summer,Diwali,High,Low,1787,3,Rural,High School,Traditional,Bright,Floral,,Traditional Media,2,,Women's Wear,Excellent,Weak,181,No,301,7/9/2024 6:23,2/7/2023,21394,67,Comfort-First Traditional Buyers
C0039,21.0,Male,Christian,Summer,Diwali,High,Medium,1267,5,Rural,Undergraduate,Ethnic Wear,Neutral,Solid,Wool,E-Commerce Trends,2,,Original Fit,Average,Moderate,211,No,352,5/13/2024 10:01,2/8/2023,79092,7,Comfort-First Traditional Buyers
C0040,42.0,Male,Christian,Winter,Diwali,High,Medium,2321,7,Rural,High School,Sarees / Salwar Kameez,Dark,Floral,Silk,Celebrity Trends,2,Celebrities,,Good,Moderate,212,No,278,11/28/2024 18:43,2/9/2023,13890,51,Comfort-First Traditional Buyers
C0041,31.0,,Christian,Summer,,Medium,Medium,2785,2,Rural,Graduate,Fusion Wear,Dark,Printed,Cotton,Traditional Media,3,Social Media,Women's Wear,Excellent,Strong,201,No,265,7/27/2024 20:37,2/10/2023,51606,72,Seasonal Trend Followers
C0042,26.0,Female,Christian,Summer,Eid,Medium,Low,1569,3,Urban,Postgraduate,Western Casual,Bright,Floral,Silk,Celebrity Trends,0,,Women's Wear,Poor,Weak,192,No,287,6/17/2024 22:47,2/11/2023,90038,42,Price-Sensitive Young Fashionistas
C0043,43.0,Male,Christian,Winter,Eid,High,High,3616,6,Rural,Postgraduate,Formal Wear,Bright,,Silk,Social Media,3,Social Media,Accessories,Good,Weak,222,No,388,2/7/2025 21:55,2/12/2023,97313,64,Seasonal Trend Followers
C0044,19.0,Female,Christian,Rainy,,Medium,High,3373,2,Urban,Postgraduate,Casual/Formal,,Solid,Rayon,Traditional Media,1,Celebrities,Women's Wear,Poor,Strong,196,Yes,370,3/21/2025 11:41,2/13/2023,20627,15,Festival-Driven High Spenders
C0045,37.0,Male,Christian,Summer,Diwali,High,Medium,1963,3,Urban,High School,Indo-Western,Dark,Solid,Rayon,Local Culture,0,,Original Fit,Excellent,Strong,188,No,356,7/14/2024 22:20,2/14/2023,18792,29,Price-Sensitive Young Fashionistas
C0046,45.0,Female,Muslim,Winter,Christmas,Medium,Medium,1906,7,Rural,High School,Sarees / Salwar Kameez,Pastel,Checks,,Celebrity Trends,2,Celebrities,Women's Wear,Average,Strong,191,No,340,6/10/2024 19:57,2/15/2023,83969,33,Comfort-First Traditional Buyers
C0047,24.0,Female,Hindu,Summer,Diwali,High,High,3176,6,Rural,High School,Formal Wear,Dark,,,Social Media,1,,Men's Wear,Good,Moderate,226,No,257,6/16/2024 13:12,2/16/2023,53001,94,Festival-Driven High Spenders
C0048,25.0,Male,Hindu,,Eid,Medium,High,1703,2,Rural,Postgraduate,Ethnic Wear,Pastel,Checks,Wool,Social Media,2,Local Trends,Men's Wear,Good,Strong,205,No,306,2/5/2025 9:59,2/17/2023,86552,27,Comfort-First Traditional Buyers
C0049,52.0,Male,Muslim,Rainy,Eid,Medium,Medium,2456,5,Rural,Postgraduate,Festive Wear,Bright,Floral,Cotton,E-Commerce Trends,3,Social Media,Accessories,Poor,Strong,214,No,392,7/23/2024 14:55,2/18/2023,33897,36,Seasonal Trend Followers
C0050,31.0,Female,Muslim,Rainy,Christmas,High,Medium,2532,5,Urban,High School,Festive Wear,Neutral,Solid,Silk,Celebrity Trends,1,Celebrities,Original Fit,Excellent,Weak,221,No,247,10/20/2024 22:24,2/19/2023,78148,29,Festival-Driven High Spenders
C0051,34.0,Female,Muslim,Winter,Diwali,Medium,High,2430,5,Urban,High School,Traditional,,Checks,Wool,Local Culture,1,Social Media,Men's Wear,Poor,Strong,192,No,305,1/23/2025 21:16,2/20/2023,33483,38,Festival-Driven High Spenders
C0052,53.0,,Muslim,Winter,None,High,Low,1957,6,Rural,Postgraduate,Sarees / Salwar Kameez,Pastel,Floral,Silk,E-Commerce Trends,0,Celebrities,Women's Wear,Excellent,Weak,188,No,342,10/7/2024 18:30,2/21/2023,58555,57,Price-Sensitive Young Fashionistas
C0053,57.0,Female,Christian,Winter,None,Low,Medium,1370,4,Rural,Graduate,Sarees / Salwar Kameez,Pastel,,Cotton,Celebrity Trends,2,Local Trends,Men's Wear,Good,Weak,197,No,229,5/2/2025 1:33,2/22/2023,27159,97,Comfort-First Traditional Buyers
C0054,21.0,Female,Hindu,Rainy,Eid,High,High,3303,3,Urban,High School,Casual/Formal,Neutral,,Silk,Celebrity Trends,3,Local Trends,Men's Wear,Excellent,Moderate,181,No,327,1/21/2025 8:50,2/23/2023,90077,27,Seasonal Trend Followers
C0055,19.0,Female,Christian,Summer,Christmas,High,High,1114,6,Rural,Graduate,Sarees / Salwar Kameez,Dark,Printed,Cotton,E-Commerce Trends,2,Celebrities,Accessories,Good,Strong,229,No,304,7/31/2024 10:11,2/24/2023,45920,55,Comfort-First Traditional Buyers
C0056,23.0,Male,Hindu,Rainy,Diwali,High,High,1490,5,Urban,High School,Party Wear,Pastel,Solid,Silk,E-Commerce Trends,2,Celebrities,Women's Wear,Excellent,Strong,201,No,312,3/22/2025 22:50,2/25/2023,77121,33,Comfort-First Traditional Buyers
C0057,59.0,Female,Hindu,Winter,,Medium,,2132,4,Rural,High School,Festive Wear,Pastel,Floral,Cotton,E-Commerce Trends,2,,Women's Wear,Average,Weak,194,No,295,1/27/2025 22:17,2/26/2023,79479,68,Comfort-First Traditional Buyers
C0058,,Male,Muslim,Winter,Eid,High,Low,2978,3,Rural,High School,Fusion Wear,Pastel,Printed,Silk,Local Culture,3,,Women's Wear,Excellent,Moderate,238,No,344,9/7/2024 15:05,2/27/2023,99475,86,Seasonal Trend Followers
C0059,46.0,Female,Christian,Rainy,Eid,Low,High,2386,5,Urban,Graduate,Traditional,Neutral,Printed,Cotton,E-Commerce Trends,1,Social Media,Accessories,Average,Moderate,200,No,235,3/28/2025 18:42,2/28/2023,29457,66,Festival-Driven High Spenders
C0060,35.0,Male,Muslim,Winter,,Medium,Medium,2366,7,Urban,High School,Sarees / Salwar Kameez,Bright,Floral,Rayon,Celebrity Trends,1,Local Trends,Women's Wear,Excellent,Strong,191,Yes,330,6/6/2024 22:40,3/1/2023,76557,10,Festival-Driven High Spenders
C0061,43.0,Male,Christian,,Diwali,High,Low,3032,2,Rural,Undergraduate,Hijab/Abaya,Pastel,,Silk,Traditional Media,3,Celebrities,Women's Wear,Excellent,Weak,204,No,229,9/21/2024 2:28,3/2/2023,87189,5,Seasonal Trend Followers
C0062,51.0,Male,Hindu,Winter,Eid,Low,High,2241,2,Rural,Postgraduate,Formal Wear,Neutral,Floral,Silk,Local Culture,1,Social Media,Men's Wear,Poor,Strong,169,Yes,257,5/27/2024 18:36,3/3/2023,88953,74,Festival-Driven High Spenders
C0063,27.0,Female,Muslim,Summer,Diwali,Medium,Low,1601,7,Rural,Undergraduate,Indo-Western,Pastel,Checks,Wool,Celebrity Trends,2,Celebrities,Men's Wear,,Strong,223,No,266,12/18/2024 11:47,3/4/2023,62995,97,Comfort-First Traditional Buyers
C0064,53.0,,Muslim,Summer,None,Low,Medium,2976,6,Urban,Graduate,Western Casual,Dark,Printed,Wool,Local Culture,3,Social Media,Women's Wear,Good,Strong,183,No,284,7/8/2024 23:54,3/5/2023,50757,38,Seasonal Trend Followers
C0065,31.0,Male,Hindu,Winter,Eid,Low,High,2762,7,Rural,Undergraduate,Hijab/Abaya,Neutral,Printed,Cotton,Traditional Media,1,Celebrities,Original Fit,Poor,Strong,207,Yes,349,12/17/2024 7:37,3/6/2023,19692,13,Festival-Driven High Spenders
C0066,48.0,Male,Hindu,Rainy,Diwali,High,Medium,3718,5,Rural,High School,Formal Wear,Pastel,Printed,Silk,Local Culture,3,Local Trends,Original Fit,Excellent,Weak,188,Yes,351,12/5/2024 12:40,3/7/2023,55758,31,Seasonal Trend Followers
C0067,32.0,Female,Hindu,Summer,Eid,High,,3257,5,Urban,High School,Sarees / Salwar Kameez,Neutral,Solid,Cotton,E-Commerce Trends,1,Celebrities,Women's Wear,Poor,,194,No,326,4/13/2025 0:30,3/8/2023,82409,47,Festival-Driven High Spenders
C0068,25.0,Female,Muslim,Rainy,Christmas,High,High,3387,7,Rural,High School,Traditional,Pastel,Solid,Rayon,Social Media,3,Social Media,Original Fit,Excellent,Strong,205,No,320,4/4/2025 19:14,3/9/2023,81211,100,Seasonal Trend Followers
C0069,31.0,Female,Christian,Winter,Eid,Medium,High,1245,7,Rural,Graduate,Indo-Western,Bright,,Wool,E-Commerce Trends,2,Celebrities,Accessories,Average,Strong,177,No,197,8/22/2024 10:19,3/10/2023,75697,88,Comfort-First Traditional Buyers
C0070,,Female,Muslim,,Eid,High,High,2400,2,Rural,Postgraduate,Hijab/Abaya,Pastel,Floral,Cotton,Local Culture,0,Social Media,Men's Wear,Excellent,Strong,192,Yes,272,4/26/2025 5:40,3/11/2023,47065,52,Price-Sensitive Young Fashionistas
C0071,57.0,Female,Christian,Summer,Christmas,High,High,1012,2,Rural,Graduate,Hijab/Abaya,Neutral,Printed,Cotton,Celebrity Trends,0,Celebrities,Accessories,Good,Strong,207,No,349,5/11/2024 14:42,3/12/2023,42606,56,Price-Sensitive Young Fashionistas
C0072,38.0,Female,Muslim,,None,High,Low,1722,5,Urban,Graduate,Party Wear,Dark,Printed,Wool,Local Culture,2,Local Trends,Men's Wear,Average,Moderate,200,No,279,3/19/2025 11:29,3/13/2023,21534,15,Comfort-First Traditional Buyers
C0073,33.0,Male,Muslim,Rainy,Diwali,Medium,High,2370,6,Urban,Undergraduate,Indo-Western,Dark,Floral,Silk,E-Commerce Trends,2,Local Trends,Original Fit,Good,Moderate,206,No,387,11/25/2024 20:08,3/14/2023,50397,29,Comfort-First Traditional Buyers
C0074,35.0,Male,Hindu,Winter,Christmas,High,High,2067,2,Urban,Graduate,Festive Wear,Dark,,Cotton,Local Culture,2,Celebrities,Original Fit,Good,Moderate,208,No,298,2/11/2025 21:58,3/15/2023,11016,8,Comfort-First Traditional Buyers
C0075,,Male,Christian,Winter,Eid,High,Low,1839,3,Rural,High School,Casual/Formal,Pastel,Floral,Wool,Social Media,0,Celebrities,Women's Wear,Good,Moderate,228,No,342,2/15/2025 16:30,3/16/2023,99789,5,Price-Sensitive Young Fashionistas
C0076,43.0,,Muslim,Winter,,High,,824,4,Urban,Postgraduate,Party Wear,Bright,Solid,Silk,Celebrity Trends,0,Celebrities,Original Fit,Poor,Strong,193,Yes,317,1/13/2025 3:42,3/17/2023,65591,29,Price-Sensitive Young Fashionistas
C0077,42.0,Male,Muslim,Summer,Christmas,High,Low,2162,2,Urban,Graduate,Western Casual,Pastel,Printed,Rayon,Social Media,0,Social Media,Original Fit,Good,Weak,225,No,323,4/8/2025 7:08,3/18/2023,99812,47,Price-Sensitive Young Fashionistas
C0078,58.0,Female,Hindu,Summer,,Medium,Low,1362,2,Urban,High School,Western Casual,Dark,Checks,Wool,E-Commerce Trends,0,Celebrities,,Average,Moderate,189,No,340,4/27/2025 20:41,3/19/2023,33247,68,Price-Sensitive Young Fashionistas
C0079,46.0,,Hindu,Winter,Diwali,Medium,Low,2068,6,Rural,High School,Ethnic Wear,Neutral,Solid,Cotton,Social Media,2,,Women's Wear,,Moderate,215,No,252,9/17/2024 4:28,3/20/2023,34300,76,Comfort-First Traditional Buyers
C0080,32.0,Female,Christian,Winter,,High,Low,1748,6,Rural,Undergraduate,Festive Wear,Dark,Printed,Rayon,Celebrity Trends,0,Social Media,Men's Wear,Good,Strong,201,Yes,213,4/7/2025 3:23,3/21/2023,84065,45,Price-Sensitive Young Fashionistas
C0081,18.0,Female,Muslim,Summer,Diwali,High,High,2290,7,Rural,Postgraduate,Hijab/Abaya,Neutral,Printed,Silk,Social Media,1,Local Trends,Original Fit,Average,Strong,178,No,278,12/26/2024 21:04,3/22/2023,92798,2,Festival-Driven High Spenders
C0082,42.0,Male,Christian,Summer,None,High,High,1566,7,Urban,High School,Festive Wear,Bright,Checks,Silk,Local Culture,0,Celebrities,Men's Wear,Good,Strong,221,Yes,358,5/17/2024 2:00,3/23/2023,19268,27,Price-Sensitive Young Fashionistas
C0083,24.0,Female,Muslim,Summer,Christmas,High,Medium,3207,5,Rural,Undergraduate,Indo-Western,Neutral,Printed,Wool,Celebrity Trends,1,Celebrities,Men's Wear,Excellent,Strong,193,No,239,10/5/2024 16:58,3/24/2023,96807,95,Festival-Driven High Spenders
C0084,26.0,Female,Christian,Summer,None,High,High,1581,7,Rural,Postgraduate,Traditional,Pastel,,Wool,E-Commerce Trends,0,Local Trends,Accessories,Average,Weak,220,No,250,7/31/2024 16:56,3/25/2023,22185,36,Price-Sensitive Young Fashionistas
C0085,41.0,Male,,Winter,Eid,High,High,1678,3,Rural,Graduate,Fusion Wear,,Solid,Wool,Traditional Media,2,Local Trends,Original Fit,Average,Weak,206,No,238,3/18/2025 0:08,3/26/2023,73704,36,Comfort-First Traditional Buyers
C0086,18.0,Female,Muslim,Summer,Diwali,High,Low,2784,3,Urban,Undergraduate,Sarees / Salwar Kameez,Pastel,Solid,Silk,Celebrity Trends,3,Social Media,Original Fit,Excellent,Moderate,184,Yes,351,9/10/2024 17:58,3/27/2023,96779,26,Seasonal Trend Followers
C0087,25.0,Female,Christian,Winter,Eid,High,Low,1842,2,Urban,Undergraduate,Casual/Formal,Neutral,Checks,Rayon,Traditional Media,0,Celebrities,Accessories,Average,Weak,204,Yes,272,10/14/2024 15:24,3/28/2023,49099,43,Price-Sensitive Young Fashionistas
C0088,41.0,Female,,Rainy,Eid,High,,1203,7,Urban,Undergraduate,Party Wear,Pastel,Checks,Silk,Social Media,2,,Men's Wear,Excellent,Moderate,179,No,218,4/29/2025 0:06,3/29/2023,18571,27,Comfort-First Traditional Buyers
C0089,28.0,Female,Hindu,Rainy,Diwali,High,Medium,2813,4,Rural,Undergraduate,Western Casual,Pastel,Printed,Cotton,Traditional Media,3,Social Media,Original Fit,Average,Moderate,202,Yes,336,10/6/2024 2:52,3/30/2023,48044,69,Seasonal Trend Followers
C0090,34.0,Female,Christian,Summer,Christmas,High,Low,2705,5,Urban,Graduate,Sarees / Salwar Kameez,Pastel,,Silk,E-Commerce Trends,1,Local Trends,,Average,Weak,206,Yes,295,1/24/2025 2:34,3/31/2023,61214,20,Festival-Driven High Spenders
C0091,25.0,Female,Muslim,Rainy,Diwali,Low,High,1684,4,Rural,Postgraduate,Fusion Wear,Bright,Checks,Cotton,Social Media,2,Social Media,Accessories,Excellent,,209,No,351,6/4/2024 7:03,4/1/2023,71228,11,Comfort-First Traditional Buyers
C0092,52.0,,Muslim,Rainy,Eid,High,High,3127,6,Rural,Graduate,Casual/Formal,Neutral,Checks,Rayon,E-Commerce Trends,1,Local Trends,Women's Wear,Excellent,Strong,193,No,316,10/31/2024 7:11,4/2/2023,58984,74,Festival-Driven High Spenders
C0093,52.0,Male,Hindu,Rainy,Eid,Medium,,2092,6,Urban,High School,Sarees / Salwar Kameez,,Floral,,Traditional Media,0,Social Media,Men's Wear,Average,Moderate,206,Yes,302,4/26/2025 11:05,4/3/2023,50774,38,Price-Sensitive Young Fashionistas
C0094,50.0,Male,Muslim,Summer,,Low,Medium,1211,4,Rural,High School,Festive Wear,Dark,,,Social Media,2,Local Trends,Original Fit,Average,Strong,207,No,359,12/27/2024 14:56,4/4/2023,12568,6,Comfort-First Traditional Buyers
C0095,22.0,Female,Muslim,Summer,Diwali,Low,Low,3551,7,Urban,Postgraduate,Party Wear,Neutral,Printed,Silk,Traditional Media,1,Social Media,Women's Wear,Excellent,,178,Yes,362,12/30/2024 13:02,4/5/2023,72592,72,Festival-Driven High Spenders
C0096,59.0,Male,,Rainy,Eid,High,Medium,1729,4,Rural,Graduate,Sarees / Salwar Kameez,Bright,Solid,Wool,Local Culture,0,Local Trends,Men's Wear,Poor,Weak,190,No,243,8/28/2024 12:43,4/6/2023,77563,23,Price-Sensitive Young Fashionistas
C0097,56.0,Female,Hindu,Winter,None,Medium,High,1600,2,Rural,Graduate,Festive Wear,Neutral,Checks,Rayon,E-Commerce Trends,2,Local Trends,Men's Wear,Excellent,Moderate,221,No,377,11/29/2024 15:54,4/7/2023,12695,47,Comfort-First Traditional Buyers
C0098,58.0,,Christian,Rainy,Eid,Medium,High,1489,2,Urban,Graduate,Sarees / Salwar Kameez,Bright,Floral,Wool,Traditional Media,2,Local Trends,Women's Wear,Average,Strong,213,No,250,6/28/2024 4:19,4/8/2023,58190,90,Comfort-First Traditional Buyers
C0099,45.0,Female,,Summer,Eid,Medium,Medium,1352,4,Urban,Postgraduate,Western Casual,Bright,Solid,Silk,Traditional Media,0,Local Trends,Women's Wear,,Moderate,203,No,352,7/28/2024 1:19,4/9/2023,15258,46,Price-Sensitive Young Fashionistas
C0100,24.0,Female,,Summer,Christmas,Medium,,3348,2,Rural,Postgraduate,Sarees / Salwar Kameez,Neutral,Checks,,Traditional Media,3,Local Trends,Women's Wear,Average,Weak,186,No,246,9/15/2024 20:39,4/10/2023,97538,12,Seasonal Trend Followers
